time_bin,src,dst,packets,bytes,regime,target_nnz
12,s00000246,d00000162,3.139,3152,controlled,800
6,s00000047,d00000177,1.968,732,controlled,800
13,s00000050,d00000101,16.514,21898,controlled,800
15,s00000151,d00000142,5.695,1037,controlled,800
6,s00000159,d00000172,18.483,24878,controlled,800
1,s00000041,d00000087,11.612,12773,controlled,800
14,s00000209,d00000089,4.564,2469,controlled,800
4,s00000122,d00000089,9.875,8571,controlled,800
6,s00000223,d00000061,3.509,3432,controlled,800
5,s00000153,d00000117,5.558,406,controlled,800
3,s00000204,d00000161,2.886,592,controlled,800
13,s00000059,d00000001,6.383,5783,controlled,800
6,s00000218,d00000049,8.46,8290,controlled,800
5,s00000232,d00000221,11.797,7220,controlled,800
4,s00000186,d00000138,1.241,492,controlled,800
11,s00000232,d00000104,11.627,6930,controlled,800
4,s00000067,d00000250,3.008,235,controlled,800
0,s00000031,d00000122,5.869,4936,controlled,800
1,s00000186,d00000220,6.54,7397,controlled,800
13,s00000083,d00000082,13.998,14628,controlled,800
14,s00000162,d00000164,2.394,3454,controlled,800
3,s00000008,d00000081,7.228,10473,controlled,800
3,s00000241,d00000181,1.703,1758,controlled,800
11,s00000054,d00000175,5.357,4377,controlled,800
14,s00000106,d00000081,8.884,10217,controlled,800
7,s00000255,d00000201,2.04,1806,controlled,800
14,s00000168,d00000009,0.605,821,controlled,800
3,s00000092,d00000028,4.336,2914,controlled,800
15,s00000201,d00000076,13.344,7286,controlled,800
6,s00000023,d00000115,2.914,1562,controlled,800
5,s00000063,d00000083,4.923,6316,controlled,800
6,s00000186,d00000138,3.141,4246,controlled,800
0,s00000024,d00000154,9.915,7397,controlled,800
13,s00000116,d00000078,5.064,825,controlled,800
12,s00000250,d00000060,1.63,1268,controlled,800
1,s00000038,d00000085,0.783,994,controlled,800
12,s00000059,d00000151,7.951,1312,controlled,800
2,s00000232,d00000104,1.525,1046,controlled,800
14,s00000167,d00000215,9.06,4068,controlled,800
4,s00000116,d00000078,23.089,30039,controlled,800
8,s00000190,d00000048,2.342,1443,controlled,800
11,s00000128,d00000152,0.686,141,controlled,800
13,s00000096,d00000138,10.328,8520,controlled,800
2,s00000212,d00000089,8.094,11283,controlled,800
5,s00000064,d00000101,17.739,6705,controlled,800
9,s00000151,d00000040,4.052,936,controlled,800
