time_bin,src,dst,packets,bytes,regime
4,s00000015,d00000355,1.436,195,hotspot_zipf
2,s00000473,d00000112,6.44,1964,hotspot_zipf
11,s00000015,d00000168,0.807,721,hotspot_zipf
7,s00000158,d00000425,4.924,4589,hotspot_zipf
13,s00000140,d00000349,5.572,4179,hotspot_zipf
14,s00000441,d00000409,0.793,386,hotspot_zipf
13,s00000000,d00000168,19.552,6550,hotspot_zipf
14,s00000015,d00000237,1.157,467,hotspot_zipf
1,s00000262,d00000459,8.749,2187,hotspot_zipf
14,s00000000,d00000237,2.053,2614,hotspot_zipf
15,s00000015,d00000102,4.454,4013,hotspot_zipf
14,s00000121,d00000112,1.824,144,hotspot_zipf
14,s00000404,d00000013,33.243,34705,hotspot_zipf
9,s00000297,d00000110,8.662,10412,hotspot_zipf
1,s00000352,d00000055,17.761,5133,hotspot_zipf
8,s00000297,d00000168,6.903,3769,hotspot_zipf
13,s00000282,d00000237,6.376,6682,hotspot_zipf
3,s00000365,d00000352,3.861,4571,hotspot_zipf
5,s00000282,d00000168,2.699,2799,hotspot_zipf
11,s00000282,d00000112,5.895,2741,hotspot_zipf
6,s00000015,d00000409,3.905,2069,hotspot_zipf
9,s00000015,d00000414,2.931,2289,hotspot_zipf
1,s00000297,d00000492,0.948,635,hotspot_zipf
6,s00000015,d00000044,2.543,661,hotspot_zipf
5,s00000454,d00000237,5.894,7680,hotspot_zipf
0,s00000262,d00000237,2.188,980,hotspot_zipf
3,s00000015,d00000168,4.656,3115,hotspot_zipf
2,s00000468,d00000123,2.965,2843,hotspot_zipf
5,s00000015,d00000433,1.307,1064,hotspot_zipf
10,s00000158,d00000168,1.47,1476,hotspot_zipf
0,s00000015,d00000059,1.709,1138,hotspot_zipf
8,s00000473,d00000168,2.59,774,hotspot_zipf
0,s00000252,d00000246,2.66,2900,hotspot_zipf
12,s00000321,d00000143,9.502,9027,hotspot_zipf
5,s00000015,d00000247,1.245,222,hotspot_zipf
1,s00000321,d00000147,0.514,730,hotspot_zipf
1,s00000282,d00000168,6.38,4274,hotspot_zipf
10,s00000282,d00000168,2.227,2009,hotspot_zipf
1,s00000473,d00000112,3.039,975,hotspot_zipf
14,s00000041,d00000359,35.649,16078,hotspot_zipf
0,s00000030,d00000168,13.1,10742,hotspot_zipf
0,s00000282,d00000247,5.848,5895,hotspot_zipf
12,s00000352,d00000376,8.134,1366,hotspot_zipf
15,s00000015,d00000168,3.795,3320,hotspot_zipf
11,s00000282,d00000021,8.233,650,hotspot_zipf
0,s00000015,d00000168,1.936,1891,hotspot_zipf
8,s00000222,d00000168,1.763,2195,hotspot_zipf
11,s00000297,d00000359,2.211,2704,hotspot_zipf
5,s00000000,d00000112,14.623,15398,hotspot_zipf
8,s00000282,d00000246,14.323,19480,hotspot_zipf
15,s00000000,d00000046,1.946,1226,hotspot_zipf
4,s00000473,d00000168,9.951,2747,hotspot_zipf
15,s00000132,d00000142,2.942,2571,hotspot_zipf
5,s00000020,d00000351,9.192,3713,hotspot_zipf
10,s00000282,d00000237,2.544,3515,hotspot_zipf
0,s00000188,d00000237,8.248,2037,hotspot_zipf
4,s00000282,d00000102,3.08,2837,hotspot_zipf
12,s00000015,d00000168,2.62,3783,hotspot_zipf
14,s00000245,d00000376,3.346,750,hotspot_zipf
0,s00000240,d00000237,3.955,5639,hotspot_zipf
9,s00000466,d00000247,1.998,799,hotspot_zipf
15,s00000000,d00000168,0.967,1071,hotspot_zipf
11,s00000093,d00000147,16.351,22171,hotspot_zipf
15,s00000282,d00000409,2.379,2208,hotspot_zipf
13,s00000218,d00000168,0.639,493,hotspot_zipf
13,s00000007,d00000112,0.421,119,hotspot_zipf
7,s00000262,d00000237,0.257,116,hotspot_zipf
2,s00000015,d00000102,1.944,943,hotspot_zipf
10,s00000015,d00000247,12.023,2381,hotspot_zipf
9,s00000401,d00000237,0.758,186,hotspot_zipf
0,s00000015,d00000168,2.547,3021,hotspot_zipf
12,s00000095,d00000168,0.628,353,hotspot_zipf
15,s00000297,d00000168,9.505,4705,hotspot_zipf
6,s00000282,d00000093,4.808,947,hotspot_zipf
12,s00000232,d00000099,4.624,1549,hotspot_zipf
6,s00000321,d00000168,11.963,1089,hotspot_zipf
10,s00000125,d00000021,15.722,3066,hotspot_zipf
12,s00000282,d00000119,8.904,1282,hotspot_zipf
15,s00000352,d00000168,2.012,598,hotspot_zipf
0,s00000282,d00000237,1.009,683,hotspot_zipf
15,s00000282,d00000168,1.308,683,hotspot_zipf
6,s00000020,d00000112,0.679,196,hotspot_zipf
0,s00000242,d00000247,18.27,22546,hotspot_zipf
13,s00000016,d00000282,2.883,415,hotspot_zipf
14,s00000297,d00000237,3.875,884,hotspot_zipf
12,s00000015,d00000237,4.125,4571,hotspot_zipf
9,s00000126,d00000168,22.284,21259,hotspot_zipf
14,s00000297,d00000351,2.044,2293,hotspot_zipf
2,s00000152,d00000223,10.282,13695,hotspot_zipf
13,s00000015,d00000112,4.56,6256,hotspot_zipf
7,s00000352,d00000237,2.991,2764,hotspot_zipf
3,s00000015,d00000237,0.583,686,hotspot_zipf
12,s00000360,d00000202,8.065,9735,hotspot_zipf
14,s00000308,d00000168,1.73,2384,hotspot_zipf
14,s00000084,d00000247,2.252,185,hotspot_zipf
3,s00000282,d00000246,4.247,4111,hotspot_zipf
5,s00000000,d00000235,3.763,2438,hotspot_zipf
8,s00000015,d00000080,9.758,7787,hotspot_zipf
5,s00000388,d00000168,1.852,2508,hotspot_zipf
9,s00000259,d00000492,4.014,2561,hotspot_zipf
1,s00000237,d00000168,4.462,4337,hotspot_zipf
10,s00000282,d00000237,3.532,1858,hotspot_zipf
6,s00000282,d00000112,6.474,7737,hotspot_zipf
9,s00000260,d00000203,2.725,234,hotspot_zipf
2,s00000033,d00000237,10.535,6690,hotspot_zipf
3,s00000015,d00000247,1.787,1873,hotspot_zipf
3,s00000015,d00000492,0.909,1047,hotspot_zipf
13,s00000015,d00000168,3.322,1681,hotspot_zipf
3,s00000039,d00000168,10.301,13546,hotspot_zipf
2,s00000508,d00000112,2.14,2309,hotspot_zipf
12,s00000015,d00000168,1.929,2633,hotspot_zipf
11,s00000084,d00000168,2.504,3428,hotspot_zipf
1,s00000015,d00000492,4.02,824,hotspot_zipf
0,s00000260,d00000168,2.932,3399,hotspot_zipf
14,s00000473,d00000237,4.602,5214,hotspot_zipf
14,s00000413,d00000247,0.702,538,hotspot_zipf
12,s00000015,d00000027,13.832,17138,hotspot_zipf
14,s00000015,d00000168,5.919,4954,hotspot_zipf
15,s00000407,d00000168,1.554,365,hotspot_zipf
4,s00000140,d00000072,12.301,15893,hotspot_zipf
5,s00000282,d00000112,5.236,1733,hotspot_zipf
8,s00000004,d00000247,13.491,5342,hotspot_zipf
9,s00000395,d00000237,1.16,1492,hotspot_zipf
7,s00000015,d00000112,16.048,14106,hotspot_zipf
10,s00000140,d00000112,3.6,1285,hotspot_zipf
14,s00000015,d00000351,0.513,456,hotspot_zipf
0,s00000033,d00000168,6.932,4617,hotspot_zipf
4,s00000352,d00000168,2.609,2348,hotspot_zipf
12,s00000352,d00000246,1.349,1181,hotspot_zipf
1,s00000140,d00000237,2.827,1317,hotspot_zipf
2,s00000297,d00000492,0.571,460,hotspot_zipf
6,s00000100,d00000102,5.928,4132,hotspot_zipf
11,s00000015,d00000247,2.824,3019,hotspot_zipf
4,s00000208,d00000168,2.686,2052,hotspot_zipf
9,s00000015,d00000168,12.797,3826,hotspot_zipf
4,s00000015,d00000168,3.565,4142,hotspot_zipf
13,s00000282,d00000038,1.87,2216,hotspot_zipf
12,s00000297,d00000112,1.429,2003,hotspot_zipf
