regime,n_edges,sketch_width,sketch_depth,candidate_capacity,seconds,sketch_bytes,candidate_count,topk_recall,median_relative_error,max_relative_error
hotspot_zipf,100000,8192,5,64,0.6604296249999999,327680,64,0.7,8.326654652619133e-06,1.0
hotspot_zipf,100000,8192,5,128,0.639313,327680,128,1.0,0.0,0.002197295080472012
hotspot_zipf,100000,8192,5,512,0.6491837919999999,327680,512,1.0,0.0,0.002197295080472012
hotspot_zipf,100000,8192,5,2048,0.6350875,327680,2048,1.0,0.0,0.002197295080472012
hotspot_zipf,100000,8192,5,8192,0.6660421250000002,327680,8192,1.0,0.0,0.002197295080472012
community_bursty,100000,8192,5,64,0.6186119999999997,327680,64,0.0,1.0,1.0
community_bursty,100000,8192,5,128,0.6217610420000002,327680,128,0.0,1.0,1.0
community_bursty,100000,8192,5,512,0.6356343329999996,327680,512,0.15,1.0,1.0
community_bursty,100000,8192,5,2048,0.6528367500000005,327680,2048,0.65,0.15776494367729937,1.0
community_bursty,100000,8192,5,8192,0.7112852919999995,327680,8192,1.0,0.11512467631633488,0.22063164413252143
scanner_fanout,100000,8192,5,64,0.6116054579999997,327680,64,0.0,1.0,1.0
scanner_fanout,100000,8192,5,128,0.615609708,327680,128,0.0,1.0,1.0
scanner_fanout,100000,8192,5,512,0.6312469170000004,327680,512,0.05,1.0,1.0
scanner_fanout,100000,8192,5,2048,0.6542445410000006,327680,2048,0.1,1.0,1.0
scanner_fanout,100000,8192,5,8192,0.9139098749999999,327680,8192,0.95,0.7069847967844693,1.0246994036951351
uniform_sparse,100000,8192,5,64,0.6911419159999994,327680,64,0.0,1.0,1.0
uniform_sparse,100000,8192,5,128,0.6880432499999998,327680,128,0.05,1.0,1.0
uniform_sparse,100000,8192,5,512,0.667501541,327680,512,0.05,1.0,1.0
uniform_sparse,100000,8192,5,2048,0.6706787499999987,327680,2048,0.2,1.0,1.0
uniform_sparse,100000,8192,5,8192,0.7209318749999998,327680,8192,0.5,1.0,1.3783790953707389
