source,n_windows_total,n_calibration_windows,alpha,order_statistic_rank,conformal_gap_lower_bound,sketch_width,sketch_depth,candidate_capacity,required_threshold,certified,margin
ctu13_edges,56,28,0.1,2,3.0811065327336545e-05,8192,5,512,0.00456227850210898,False,-0.004531467436781643
ctu13_edges,56,28,0.1,2,3.0811065327336545e-05,16384,5,5000,0.0007317415282598677,False,-0.0007009304629325311
ctu13_edges,56,28,0.1,2,3.0811065327336545e-05,262144,5,98304,4.108368964130817e-05,False,-1.0272624313971627e-05
ctu13_edges,56,28,0.1,2,3.0811065327336545e-05,524288,5,200000,2.0369372258470842e-05,True,1.0441693068865703e-05
official_prefix_edges,100,50,0.1,5,0.0,8192,5,512,0.00456227850210898,False,-0.00456227850210898
official_prefix_edges,100,50,0.1,5,0.0,16384,5,5000,0.0007317415282598677,False,-0.0007317415282598677
official_prefix_edges,100,50,0.1,5,0.0,262144,5,98304,4.108368964130817e-05,False,-4.108368964130817e-05
official_prefix_edges,100,50,0.1,5,0.0,524288,5,200000,2.0369372258470842e-05,False,-2.0369372258470842e-05
hotspot_zipf,100,50,0.1,5,4.4079887626703126e-05,8192,5,512,0.00456227850210898,False,-0.004518198614482277
hotspot_zipf,100,50,0.1,5,4.4079887626703126e-05,16384,5,5000,0.0007317415282598677,False,-0.0006876616406331646
hotspot_zipf,100,50,0.1,5,4.4079887626703126e-05,262144,5,98304,4.108368964130817e-05,True,2.9961979853949545e-06
hotspot_zipf,100,50,0.1,5,4.4079887626703126e-05,524288,5,200000,2.0369372258470842e-05,True,2.3710515368232284e-05
community_bursty,100,50,0.1,5,1.1043990136207464e-07,8192,5,512,0.00456227850210898,False,-0.004562168062207618
community_bursty,100,50,0.1,5,1.1043990136207464e-07,16384,5,5000,0.0007317415282598677,False,-0.0007316310883585056
community_bursty,100,50,0.1,5,1.1043990136207464e-07,262144,5,98304,4.108368964130817e-05,False,-4.09732497399461e-05
community_bursty,100,50,0.1,5,1.1043990136207464e-07,524288,5,200000,2.0369372258470842e-05,False,-2.0258932357108766e-05
scanner_fanout,100,50,0.1,5,1.3890813345321106e-07,8192,5,512,0.00456227850210898,False,-0.0045621395939755265
scanner_fanout,100,50,0.1,5,1.3890813345321106e-07,16384,5,5000,0.0007317415282598677,False,-0.0007316026201264144
scanner_fanout,100,50,0.1,5,1.3890813345321106e-07,262144,5,98304,4.108368964130817e-05,False,-4.094478150785496e-05
scanner_fanout,100,50,0.1,5,1.3890813345321106e-07,524288,5,200000,2.0369372258470842e-05,False,-2.0230464125017632e-05
uniform_sparse,100,50,0.1,5,8.35288120019754e-08,8192,5,512,0.00456227850210898,False,-0.004562194973296978
uniform_sparse,100,50,0.1,5,8.35288120019754e-08,16384,5,5000,0.0007317415282598677,False,-0.0007316579994478656
uniform_sparse,100,50,0.1,5,8.35288120019754e-08,262144,5,98304,4.108368964130817e-05,False,-4.100016082930619e-05
uniform_sparse,100,50,0.1,5,8.35288120019754e-08,524288,5,200000,2.0369372258470842e-05,False,-2.0285843446468867e-05
