regime,n_edges,sketch_width,sketch_depth,candidate_capacity,seconds,sketch_bytes,topk_recall,median_relative_error,max_relative_error
hotspot_zipf,100000,512,5,512,1.092341542,20480,1.0,0.04052359913003993,0.18176256909850713
hotspot_zipf,100000,2048,5,512,1.025915334,81920,1.0,0.00304131383151467,0.016651377028893456
hotspot_zipf,100000,8192,5,512,1.026259167,327680,1.0,0.0,0.002013339874690565
hotspot_zipf,100000,32768,5,512,1.0488062089999999,1310720,1.0,0.0,0.0
community_bursty,100000,512,5,512,1.9532614160000001,20480,0.15,1.0,5.129244996967859
community_bursty,100000,2048,5,512,1.9948049159999997,81920,0.15,1.0,1.0
community_bursty,100000,8192,5,512,1.9552052919999987,327680,0.15,1.0,1.0
community_bursty,100000,32768,5,512,1.9444562909999998,1310720,0.15,1.0,1.0
scanner_fanout,100000,512,5,512,2.0611197499999996,20480,0.0,1.0,1.0
scanner_fanout,100000,2048,5,512,2.055757332999999,81920,0.0,1.0,1.0
scanner_fanout,100000,8192,5,512,2.075756375000001,327680,0.0,1.0,1.0
scanner_fanout,100000,32768,5,512,2.063868750000001,1310720,0.0,1.0,1.0
uniform_sparse,100000,512,5,512,2.042369583000003,20480,0.0,1.0,1.0
uniform_sparse,100000,2048,5,512,2.036920333000001,81920,0.0,1.0,1.0
uniform_sparse,100000,8192,5,512,2.0264532499999994,327680,0.0,1.0,1.0
uniform_sparse,100000,32768,5,512,2.062587208,1310720,0.0,1.0,1.0
