scenario,time_bin,n_edges,nnz,total_weight,source_entropy_bits,destination_entropy_bits,edge_gini,top_edge_share,top_source_share,top_destination_share,unique_sources,unique_destinations,total_weight_robust_z,nnz_robust_z,source_entropy_bits_robust_z,destination_entropy_bits_robust_z,edge_gini_robust_z,top_edge_share_robust_z,top_source_share_robust_z,top_destination_share_robust_z,unique_sources_robust_z,unique_destinations_robust_z,anomaly_score,injected_anomaly
volume_burst,0,5105,4948,23487905.0,10.970920830113682,10.990889531831694,0.4716240789997186,0.0016226649418072834,0.0024206075424777133,0.0033687976854470418,2843,2905,1.7317663112418193,1.7731958762886597,0.512125956028085,1.7472664101879338,-3.4935776740478834,-0.8321755468224795,0.15321482062112332,4.976146038603936,0.06521739130434782,1.9433962264150944,12.902329030691,False
volume_burst,1,5036,4865,23081411.0,10.966212049069034,10.948635490806119,0.48408396984017155,0.0023946976205224194,0.0026794289135963134,0.0028144293258328098,2875,2883,0.7305322998179772,0.061855670103092786,0.2412250018024038,-0.13234183283159923,1.1101465192435434,3.902694526364642,1.4881397985265095,1.961324741562501,1.4565217391304348,1.1132075471698113,10.955501324477373,False
volume_burst,2,5089,4936,23306452.0,10.941847128888083,10.976417214962618,0.47852353001410286,0.001964177130006747,0.0029195778061800225,0.002576711375888531,2831,2864,1.2848300340153649,1.5257731958762886,-1.160513593402292,1.1034868941354574,-0.9443443009732239,1.262315896500132,2.72675759017483,0.6685432800091122,-0.45652173913043476,0.39622641509433965,8.967933305805525,False
volume_burst,3,5032,4880,22659881.0,10.940766568916619,10.944372671231372,0.4797162186365307,0.0018405215808503142,0.002929318119543523,0.002292907010411926,2827,2845,-0.30773683290105985,0.3711340206185567,-1.22267930563063,-0.32196702882998346,-0.503665523250095,0.5039374298544906,2.776995279378648,-0.8748699224103034,-0.6304347826086957,-0.32075471698113206,3.6520667298516956,False
volume_burst,4,4986,4838,22481976.0,10.984040425055564,10.938975802873145,0.4810860007086806,0.002143183499528689,0.00240757307097917,0.0022758230860134357,2882,2853,-0.7459340431977891,-0.4948453608247423,1.266909573085315,-0.5620387002347447,0.0024463637513190447,2.360160489516455,0.08598682664983748,-0.9677774237501253,1.7608695652173914,-0.018867924528301886,5.473926454468999,False
volume_burst,5,5011,4862,23234434.0,10.955750803979939,10.957396905222367,0.4829702312945605,0.0017711642986439867,0.002437416809895175,0.00409129828598364,2840,2827,1.1074427391605275,0.0,-0.3606210492569011,0.25739667164240754,0.698638492962607,0.07856978813384079,0.23991210855712888,8.905320855035942,-0.06521739130434782,-1.0,10.588642162529847,False
volume_burst,6,4963,4816,22733619.0,10.962928596338374,10.953273723451188,0.4843730628301719,0.002199825729462608,0.002500657726339128,0.0028990104919062822,2851,2862,-0.12611301180069606,-0.9484536082474226,0.05232463258656144,0.07398305589177182,1.2169616117044326,2.707546820156033,0.5660902700505064,2.421302473668908,0.41304347826086957,0.32075471698113206,6.555045447595782,False
volume_burst,7,4964,4811,22505327.0,10.916259604757954,10.939408254688766,0.4812061913755956,0.0017455422887212436,0.003055498815902564,0.0028694095402390734,2773,2817,-0.6884182732214594,-1.0515463917525774,-2.632589835087509,-0.542801723661104,0.0468548331488327,-0.07856978813384079,3.427798428172702,2.260323626389283,-2.9782608695652173,-1.3773584905660377,5.688122054561985,False
volume_burst,8,5013,4868,23171656.0,10.980371999303003,10.949947410012781,0.48506076665005127,0.0016436460130428313,0.0018747041644326154,0.002263972846826312,2886,2854,0.9528144573921226,0.12371134020618557,1.055861315064401,-0.07398305589177182,1.471056832436117,-0.7034988093792734,-2.662395234011485,-1.0322225762498747,1.934782608695652,0.018867924528301886,4.086037645886663,False
volume_burst,9,4970,4831,22194922.0,10.970664725676494,10.97380700181052,0.47443897307870597,0.0014462317101181974,0.0023422925297957795,0.0025752737495540645,2871,2880,-1.452975790222984,-0.6391752577319587,0.4973920077391703,0.9873754397599839,-2.453520731420936,-1.9142391066586353,-0.2507111230606485,0.6607250371112796,1.2826086956521738,1.0,4.428101180262607,False
volume_burst,10,5018,4847,22610241.0,10.963072785218603,10.980685650908002,0.4782222678596353,0.0023336770271488922,0.0023610982297800364,0.002375604930526835,2826,2875,-0.4300049508242753,-0.30927835051546393,0.06061996525811646,1.293361926038068,-1.0556556990267763,3.5284557287359197,-0.15371681950881383,-0.42513384628042916,-0.6739130434782609,0.8113207547169812,5.693758374749086,False
volume_burst,11,4835,4692,21669511.0,10.920799642802416,10.921767201389727,0.4829720242352713,0.0019929383731824867,0.0025290833743317974,0.0024099759334670727,2786,2802,-2.7471138664952353,-3.5051546391752577,-2.371396836983785,-1.3275377723706439,0.6993009549884052,1.438708364506938,0.7127014534877983,-0.23821403047959677,-2.4130434782608696,-1.9433962264150944,2.1514098179947365,False
volume_burst,12,4977,4829,22995372.0,10.939482976210172,10.969313701861667,0.48168722658334406,0.0013868442745783804,0.0023193797430195954,0.002236928369760663,2822,2861,0.5186099267721365,-0.6804123711340206,-1.296525697237366,0.7874976667178248,0.22458940980712963,-2.278461760716214,-0.3688885797704829,-1.179298548409622,-0.8478260869565217,0.2830188679245283,1.5891264614144895,False
volume_burst,13,4894,4737,22359670.0,10.943407060252875,10.923158795367286,0.4801458064376365,0.001716438569978895,0.0023742300311229998,0.00248684349992643,2815,2808,-1.0471855426078776,-2.577319587628866,-1.0707691582200816,-1.2656347816111968,-0.3449399149427793,-0.2570626559758348,-0.08598682664983748,0.1798148349749187,-1.1521739130434783,-1.7169811320754718,0.1798148349749187,False
volume_burst,14,5082,4929,22924845.0,10.980682143600259,10.934576608452065,0.48402423767197544,0.0017081903934355936,0.002101388253661039,0.0027084588794384435,2872,2836,0.3448951090289734,1.3814432989690721,1.0737042313685512,-0.7577303286757177,1.0880764681200334,-0.30764865492375254,-1.4932249622641331,1.385025692192077,1.326086956521739,-0.660377358490566,5.511155288080412,False
volume_burst,15,5047,4862,23231063.0,10.968126401615422,10.97437460805325,0.4805788782032865,0.001948770058434261,0.002767415335234552,0.002083589545601077,2881,2880,1.0991396403386264,0.0,0.35135964739825665,1.0126245602400161,-0.18492703918938003,1.1678244531775206,1.9419480426207654,-2.0132010335032953,1.7173913043478262,1.0,8.290287648123012,False
volume_burst,16,5019,4882,22176839.0,10.978430044522842,10.975920882622834,0.4757200007369855,0.0018837220218805755,0.0020730186118950496,0.002278232709359526,2856,2875,-1.497515967024062,0.41237113402061853,0.944138684935599,1.0814082873444322,-1.9802021367226736,0.7688853796266317,-1.6395472819550099,-0.9546731697723263,0.6304347826086957,0.8113207547169812,4.648559023252958,False
